1800:  [INFO] SCORE: 0.99367732
1803:  [INFO] SCORE: 0.9018739
1806:  [INFO] SCORE: 0.9852214
1809:  [INFO] SCORE: 0.9464161
1812:  [INFO] SCORE: 0.9879374
1815:  [INFO] SCORE: 0.9368508
1818:  [INFO] SCORE: 0.800761
1821:  [INFO] SCORE: 0.994025
1824:  [INFO] SCORE: 0.760212
1827:  [INFO] SCORE: 0.9896558
1830:  [INFO] SCORE: 0.9716274
1833:  [INFO] SCORE: 0.99358013
1836:  [INFO] SCORE: 0.735956
1839:  [INFO] SCORE: 0.9339143
1842:  [INFO] SCORE: 0.886625
1845:  [INFO] SCORE: 0.99069902
1848:  [INFO] SCORE: 0.99532458
1851:  [INFO] SCORE: 0.9397631
1854:  [INFO] SCORE: 0.9659329
1857:  [INFO] SCORE: 0.99493506
1860:  [INFO] SCORE: 0.702132
1863:  [INFO] SCORE: 0.9652234
1866:  [INFO] SCORE: 0.99428645
1869:  [INFO] SCORE: 0.835035
1872:  [INFO] SCORE: 0.99468563
1875:  [INFO] SCORE: 0.85185
1878:  [INFO] SCORE: 0.856323
1881:  [INFO] SCORE: 0.9890278
1884:  [INFO] SCORE: 0.809231
1887:  [INFO] SCORE: 0.9804269
1890:  [INFO] SCORE: 0.828719
1893:  [INFO] SCORE: 0.99181892
1896:  [INFO] SCORE: 0.9058285
1899:  [INFO] SCORE: 0.9612949
1902:  [INFO] SCORE: 0.99751725
1905:  [INFO] SCORE: 0.9159973
1908:  [INFO] SCORE: 0.9849612
1911:  [INFO] SCORE: 0.785309
1914:  [INFO] SCORE: 0.844011
1917:  [INFO] SCORE: 0.99545258
1920:  [INFO] SCORE: 0.76783
1923:  [INFO] SCORE: 0.9879518
1926:  [INFO] SCORE: 0.99723438
1929:  [INFO] SCORE: 0.803805
1932:  [INFO] SCORE: 0.872729
1935:  [INFO] SCORE: 0.99183972
1938:  [INFO] SCORE: 0.99059085
1941:  [INFO] SCORE: 0.99427556
1944:  [INFO] SCORE: 0.9884328
1947:  [INFO] SCORE: 0.885652
1950:  [INFO] SCORE: 0.99308907
1953:  [INFO] SCORE: 0.99548354
1956:  [INFO] SCORE: 0.9327438
1959:  [INFO] SCORE: 0.792777
1962:  [INFO] SCORE: 0.9882225
1965:  [INFO] SCORE: 0.9486331
1968:  [INFO] SCORE: 0.9887512
1971:  [INFO] SCORE: 0.99514116
1974:  [INFO] SCORE: 0.9885268
1977:  [INFO] SCORE: 0.9857226
1980:  [INFO] SCORE: 0.9237512
1983:  [INFO] SCORE: 0.984341
1986:  [INFO] SCORE: 0.9840639
1989:  [INFO] SCORE: 0.9683057
1992:  [INFO] SCORE: 0.9876105
1995:  [INFO] SCORE: 0.897175
1998:  [INFO] SCORE: 0.9949538
2001:  [INFO] SCORE: 0.9862676
2004:  [INFO] SCORE: 0.830156
2007:  [INFO] SCORE: 0.9511103
2010:  [INFO] SCORE: 0.777913
2013:  [INFO] SCORE: 0.9895552
2016:  [INFO] SCORE: 0.863204
2019:  [INFO] SCORE: 0.99360295
2022:  [INFO] SCORE: 0.9897658
2025:  [INFO] SCORE: 0.985893
